,Posição,PTS,J,V,E,D,GP,GC,SG,CA,CV,%,Recentes,Próx
0,1º  0 Flamengo - RJ Flamengo - RJ,31,15,9,4,2,24,9,15,36,6,68,D V E,Sport - PE
1,2º  0 São Paulo - SP São Paulo - SP,29,15,8,5,2,23,14,9,46,3,64,V V D,Cruzeiro - MG
2,3º +2 Atlético - MG Atlético - MG,26,15,8,2,5,28,22,6,33,2,57,D D V,Bahia - BA
3,4º +3 Grêmio - RS Grêmio - RS,26,15,7,5,3,15,7,8,35,1,57,V D V,Chapecoense - SC
4,5º -2 Internacional - RS Internacional - RS,26,15,7,5,3,19,12,7,42,2,57,E V D,Botafogo - RJ
5,6º -2 Cruzeiro - MG Cruzeiro - MG,24,15,7,3,5,13,11,2,35,1,53,V V D,São Paulo - SP
6,7º -1 Palmeiras - SP Palmeiras - SP,23,15,6,5,4,22,15,7,52,4,51,E V D,Paraná - PR
7,8º  0 Corinthians - SP Corinthians - SP,22,15,6,4,5,17,12,5,30,0,48,V D V,Vasco da Gama - RJ
8,9º +2 Fluminense - RJ Fluminense - RJ,21,15,6,3,6,18,19,-1,37,1,46,E V V,Ceará - CE
9,10º +2 Botafogo - RJ Botafogo - RJ,20,15,5,5,5,17,18,-1,31,2,44,D D V,Internacional - RS
10,11º -2 Vasco da Gama - RJ Vasco da Gama - RJ,19,13,5,4,4,19,19,0,38,5,48,D E V,Atlético - PR
11,12º -2 Sport - PE Sport - PE,19,15,5,4,6,16,19,-3,31,1,42,D D D,Flamengo - RJ
12,13º +3 Vitória - BA Vitória - BA,18,15,5,3,7,19,27,-8,45,2,40,V D V,Atlético - PR
13,14º +3 América - MG América - MG,17,15,5,2,8,17,23,-6,35,4,37,D D V,Santos - SP
14,15º  0 Santos - SP Santos - SP,16,14,4,4,6,16,18,-2,28,1,38,E E E,América - MG
15,16º -3 Bahia - BA Bahia - BA,16,14,4,4,6,15,19,-4,32,1,38,V E V,Ceará - CE
16,17º -3 Chapecoense - SC Chapecoense - SC,16,15,3,7,5,15,21,-6,30,1,35,E E D,Grêmio - RS
17,18º  0 Paraná - PR Paraná - PR,13,15,3,4,8,8,19,-11,40,2,28,D V D,Palmeiras - SP
18,19º  0 Atlético - PR Atlético - PR,10,14,2,4,8,13,19,-6,29,3,23,D E D,Vasco da Gama - RJ
19,20º  0 Ceará - CE Ceará - CE,8,14,1,5,8,8,19,-11,26,0,19,D V D,Bahia - BA
